RefDes,Name,Pattern,X (in),Y (in),Side,Rotate,Value
C1,,CAPAE-8.35x8.35h6.2,0.55,0.774,Top,270,47u 35V
C2,,CAPAE-8.35x8.35h6.2,1.25,0.774,Top,270,47u 35V
C3,,CAPAE-8.35x8.35h6.2,2,0.774,Top,270,47u 35V
C4,CAP_0805,CAP_0805,2.4927,1.3852,Top,270,100nF
C5,,CAPAE-8.35x8.35h6.2,2.7,0.774,Top,270,47u 35V
C6,CAP_NP_1206,CAP_1206,2.4266,1.2567,Top,180,10uF 35V
C7,CAP_NP_1206,CAP_1206,2.7676,1.3,Top,0,22uF 6.3V
C8,CAP_NP_1206,CAP_0805,2.3167,1.675,Top,90,150pF
C9,,CAPAE-8.35x8.35h6.2,3.45,0.824,Top,270,47u 35V
D1,10BQ100,b340a-13-f,0.1699,2.4641,Top,0,
D2,10BQ100,b340a-13-f,2.6188,2.16,Top,90,
D3,10BQ100,b340a-13-f,2.6097,1.3578,Top,270,
FD1,Fiducial-1-3mm,Fiducial-1-3mm,0.1378,0.315,Top,90,
FD2,Fiducial-1-3mm,Fiducial-1-3mm,3.622,2.7756,Top,90,
J1,HDR-1x8,HDR-1x8,1.45,2.65,Top,0,Header Male 1x8 0.1 
J2,,HDR-1x4,0.55,0.15,Top,0,Header Male 1x4 0.1 
J3,HDR-2x5,HDR-2x5,0.6,2.7,Top,0,Header Male 2x5 0.1 
J4,,HDR-1x4,1.25,0.15,Top,0,Header Male 1x4 0.1 
J5,HDR-1x19,HDR-1x19,1,2.3,Top,0,
J6,,HDR-1x4,2,0.15,Top,0,Header Male 1x4 0.1 
J7,,HDR-1x4,2.7,0.15,Top,0,Header Male 1x4 0.1 
J8,HDR-1x2,HDR-1x2,3.075,1.7813,Top,270,Header Male 1x2 0.1 
J9,,HDR-1x4,3.425,0.15,Top,0,Header Male 1x4 0.1 
J10,TF-01A,TF-01A,0.3006,1.752,Top,0,Micro SD Socket
J11,,HDR-1x4,2.35,2.65,Top,0,Header Male 1x4 0.1 
K1,JS-M1-9V-5,JS-M,3.1705,2.2519,Top,90,Relay 5V SPDT
L1,IND_1210,Inductor 06030,2.6506,1.6614,Top,0,4.7uH
Q1,MMBT9014 ,TO-236,2.6188,2.3856,Top,180,
R1,RES_0805,RES_0805,1.5,2.0626,Top,270,10k
R2,RES_0805,RES_0805,1.6,2.0626,Top,270,10k
R3,RES_0805,RES_0805,1.7,2.0626,Top,270,10k
R4,RES_0805,RES_0805,1.4125,2.0624,Top,270,10k
R5,RES_0805,RES_0805,2.6124,2.4938,Top,0,1K
R6,RES_0805,RES_0805,2.1721,1.5596,Top,0,210k
R7,RES_0805,RES_0805,2.1347,1.6782,Top,270,40.2k
R8,RES_0805,RES_0805,2.2631,1.2606,Top,0,100k
R9,RES_0805,RES_0805,2.2257,1.675,Top,90,100k
R10,RES_0805,RES_0805,1.3,2.0624,Top,90,10k
TB1,TB_5mm_2POS,TB_5mm_2POS,3.8125,2.3438,Top,270,
TB2,TB_5mm_2POS,TB_5mm_2POS,3.75,1.525,Top,270,
U1,ESP-32 NodeMCU 32S,ESP-32 NodeMCU 32S,0.1,2.2,Top,270,ESP-32
U2,StepStick,StepStick,0.3,1,Top,0,
U3,StepStick,StepStick,1,1,Top,0,
U4,StepStick,StepStick,1.75,1,Top,0,
U5,StepStick,StepStick,2.45,1,Top,0,
U6,MP1584EN,MP1584EN,2.3425,1.4551,Top,180,MP1584EN
U7,StepStick,StepStick,3.2,1.05,Top,0,
U8,TXS0101DBVR,SOT23-6,1.4344,1.7501,Top,0,TXS0101DBVR
C10,CAP_0805,CAP_0805,0.5,2.5187,Top,90,100nF
C11,CAP_0805,CAP_0805,0.7,2.5187,Top,90,100nF
C12,CAP_0805,CAP_0805,0.8938,2.5187,Top,90,100nF
R14,RES_0805,RES_0805,1.1,2.5187,Top,270,100
R15,RES_0805,RES_0805,1.3,2.5187,Top,270,100
R11,RES_0805,RES_0805,0.4,2.5187,Top,270,100
R12,RES_0805,RES_0805,0.6,2.5187,Top,270,100
R13,RES_0805,RES_0805,0.8,2.5187,Top,270,100
R16,RES_0805,RES_0805,1.5,2.5187,Top,270,100
R17,RES_0805,RES_0805,1.7,2.5187,Top,270,100
C13,CAP_0805,CAP_0805,1.2,2.5187,Top,90,100nF
C14,CAP_0805,CAP_0805,1.4,2.5187,Top,90,100nF
C15,CAP_0805,CAP_0805,1.6,2.5187,Top,90,100nF
C16,CAP_0805,CAP_0805,1.8,2.5187,Top,90,100nF
